,id,date,author,location,likes,retweets,polarity,subjectivity,emoji_all,emoji_see,emoji_num,tweet
86,1327131323715248128,2020-11-13 06:08:59,MacLow14,NY,0,804,0.16666666666666666,0.5,set(),set(),0,"b'RT @obsidianshakti: (cancer, scorpio, pisces): it does get better from here, you just have to be willing to stop living in the past and to\\u2026'"
87,1327131323639746560,2020-11-13 06:08:59,prajwal201,,0,35,0.2,0.65,set(),set(),0,"b'RT @mahiway_7: It has been 152 days.\\nAlready Killers have got a lot of chance to roam freely &amp; ruin the case.\\nBefore further delay, custodi\\u2026'"
88,1327131323115462656,2020-11-13 06:08:58,madaddie24,India,0,260,-0.16666666666666666,0.2333333333333333,set(),set(),0,b'RT @shwetapriya_: Ask Biharis in thr late 30s and above what Hero Honda Splendor Vehicle means to them.Thousands must be killed for riding\\u2026'
89,1327131321966206983,2020-11-13 06:08:58,DeepDas25965719,,0,14,-0.375,0.375,set(),set(),0,"b'RT @rakibul_inc: Saddened to hear about th tragic demise of a reporter namely Parag Bhuyan, who was the brother of former MLA Jagadish Bhuy\\u2026'"
90,1327131318971469829,2020-11-13 06:08:58,SK_DESIGNS_Offc,வந்தான்டா  🔥🔥🔥 காரன் 🤘💯,0,216,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
91,1327131317784481794,2020-11-13 06:08:57,AlisonHein4,,0,55,0.0,0.0,{'🚨'},{':rotating_light:'},1,"b'RT @lancefolkwhore: \\U0001f6a8 Paul Mccartney and Taylor Swift are rumored to be in a collaboration for a song called ""Wicked Memories"" after the sa\\u2026'"
92,1327131315146264576,2020-11-13 06:08:57,navvych,india,0,1117,0.33333333333333337,0.5958333333333333,set(),set(),0,"b'RT @CaptGopinath: The portrayal of my wife Bhargavi by Aparna was very well etched out , of a woman who had her own mind , strong but soft\\u2026'"
93,1327131314726858752,2020-11-13 06:08:56,JordanGT9,,0,1314,-0.5,1.0,set(),set(),0,"b'RT @SteveKerr: It is sad to see the @senatemajldr refuse to put HR-8, the background check bill that was passed by a bipartisan House AND i\\u2026'"
94,1327131311946031104,2020-11-13 06:08:56,1of1zan,,0,1,0.0,0.0,set(),set(),0,b'RT @trashboigarrett: I fr never thought about doin this or thought I\\u2019d have to but bc of the flavor ban happening at the end of the year th\\u2026'
95,1327131311346245634,2020-11-13 06:08:56,nxzr97,"Cheras,Selangor,Malaysia.",0,593,0.0,0.0,set(),set(),0,b'RT @ilhvneey: 3. Allah will also not accept the dua of a hasty person. Meaning they make dua and they stop because their dua isn\\u2019t answered\\u2026'
96,1327131309161017345,2020-11-13 06:08:55,Meidas_Damon,"Pittsburgh, PA",0,6596,0.045833333333333316,0.5625,set(),set(),0,b'RT @KamalaHarris: Too many people are grieving the devastating loss of a loved one due to COVID\\u2014many of whom were forced to die alone. It s\\u2026'
97,1327131307961364481,2020-11-13 06:08:55,Erudita96,"San Francisco, CA USA",0,0,0.1125,0.25416666666666665,set(),set(),0,"b""You apparently haven't spent the last 4 years in agony. Hell yes voter turn out was phenomenal because trump is jus\\u2026 https://t.co/TLwoJ1Qvp9"""
98,1327131307852386305,2020-11-13 06:08:55,SarkisSalem,,1,0,0.0,0.0,set(),set(),0,"b'@honeypuffe As an atheist or agnostic myself, (and a former priest) I think atheism should never be preached, I wou\\u2026 https://t.co/rJcbxgCozP'"
99,1327131305872658433,2020-11-13 06:08:54,soobiniebunniee,,0,194,0.07323232323232323,0.3181818181818182,set(),set(),0,"b'RT @heeseungcokr: BigHit labels plans to move into a new building in Yongsan (YTC) in the first half of 2021. \\n\\noffice for staffs, dance pr\\u2026'"
