,id,date,author,location,likes,retweets,polarity,subjectivity,emoji_all,emoji_see,emoji_num,tweet
88,1327133950343581696,2020-11-13 06:19:25,Iskan_DGN,,0,33,0.27,0.48,set(),,0,b'RT @ArtJzp: grow 112\\n\\nRed found purple kind of cute and ask if he would be interested in a worship session Red didnt have a clue what was a\\u2026'
89,1327133949919944708,2020-11-13 06:19:25,fxdamus,,0,1,0.0,0.0,set(),,0,"b'RT @Cam1lTahan: \\u201cTolerance is no catchphrase, but a quality we must cherish and practice. It must be woven into the fabric of our society t\\u2026'"
90,1327133947684384769,2020-11-13 06:19:24,jafboy,Chocolate City.,0,0,0.0,0.0,set(),,0,"b'@Jumpstrr @Darkskeen__ One covering One eye in a state of oblivion, another with African symbologies of Egyptian Ph\\u2026 https://t.co/DzzSpLiXZo'"
91,1327133946996551681,2020-11-13 06:19:24,DominguezCorine,,0,82,0.0,0.05,set(),,0,"b'RT @aravosis: Yeah, that\\u2019s a lie. The Pfizer vaccine was actually made by a German company in Germany. And Pfizer refused to be a part of o\\u2026'"
92,1327133943871762435,2020-11-13 06:19:23,LeszekDudek,"Warszawa, Polska",0,0,0.5,0.2,set(),,0,"b""@boxingscene I'm starting to think he doesn't know what to do. That's a logic of a child at best. The gap between c\\u2026 https://t.co/w33bk0tG4T"""
93,1327133941061603328,2020-11-13 06:19:23,mostlybree,Backwoods Alabama,2,0,-0.11851851851851854,0.12962962962962965,set(),,0,"b'We got the @RomancingRunoff email from the mid 200s down to 12 tonight. RAWR I owe a few of you replies, and will b\\u2026 https://t.co/oWZLGbvus1'"
94,1327133939430010884,2020-11-13 06:19:22,lilylefae,,0,0,-0.3125,0.6875,set(),,0,b'@The_Silicon_Don @RosieCreates I mean I understand throwing away food that was given etc but aren\\u2019t there also food\\u2026 https://t.co/orrBKoSBVt'
95,1327133938582761472,2020-11-13 06:19:22,LisbethJ,"ÜT: 40.866169,-73.923746",0,0,0.85,1.0,set(),,0,"b""@leslie_gatlin @Pthime1 @acrotheuncanny You know that beautiful people are exempt from grinding. So no you won't ha\\u2026 https://t.co/PRPJvEmE1E"""
96,1327133937823526912,2020-11-13 06:19:22,anotherKurt,,0,3999,0.1,0.1,set(),,0,b'RT @Alec_Mazo: Just a thought: there is no historical comparable to this election. Anyone saying the margins are too much to overcome don\\u2019t\\u2026'
97,1327133935655120896,2020-11-13 06:19:21,shirshendu143,Howrah,0,338,0.6,0.6,set(),,0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
98,1327133934333939713,2020-11-13 06:19:21,RayanSeelakara,"Chennai, India",0,0,-0.2916666666666667,0.5416666666666666,set(),,0,"b'@hpgasservices  My home and the distributors point/stock point of the dealer is of hardly 2km distance, do I need t\\u2026 https://t.co/IJKFyT2N0h'"
99,1327133934115807235,2020-11-13 06:19:21,HouseofSports1,"Michigan, USA",0,348,0.25,0.3333333333333333,set(),,0,"b'RT @espn: In the first USMNT match since February, players had \\u201cBe the Change\\u201d on the front of their anthem jackets and each selected a per\\u2026'"
